design_id,call_deltas,call_spread_widths,dte,put_deltas,put_spread_widths,strategy_type,take_profit_pct
289,0.01,50,2,-0.065,50,short_iron_condor,0.75
290,0.02,50,2,-0.065,50,short_iron_condor,0.75
291,0.03,50,2,-0.065,50,short_iron_condor,0.75
292,0.01,50,2,-0.065,50,short_iron_condor,0.875
293,0.02,50,2,-0.065,50,short_iron_condor,0.875
294,0.03,50,2,-0.065,50,short_iron_condor,0.875
295,0.01,50,2,-0.065,50,short_iron_condor,1.0
296,0.02,50,2,-0.065,50,short_iron_condor,1.0
297,0.03,50,2,-0.065,50,short_iron_condor,1.0
298,0.01,50,3,-0.065,50,short_iron_condor,0.75
299,0.02,50,3,-0.065,50,short_iron_condor,0.75
300,0.03,50,3,-0.065,50,short_iron_condor,0.75
301,0.01,50,3,-0.065,50,short_iron_condor,0.875
302,0.02,50,3,-0.065,50,short_iron_condor,0.875
303,0.03,50,3,-0.065,50,short_iron_condor,0.875
304,0.01,50,3,-0.065,50,short_iron_condor,1.0
305,0.02,50,3,-0.065,50,short_iron_condor,1.0
306,0.03,50,3,-0.065,50,short_iron_condor,1.0
307,0.01,50,4,-0.065,50,short_iron_condor,0.75
308,0.02,50,4,-0.065,50,short_iron_condor,0.75
309,0.03,50,4,-0.065,50,short_iron_condor,0.75
310,0.01,50,4,-0.065,50,short_iron_condor,0.875
311,0.02,50,4,-0.065,50,short_iron_condor,0.875
312,0.03,50,4,-0.065,50,short_iron_condor,0.875
313,0.01,50,4,-0.065,50,short_iron_condor,1.0
314,0.02,50,4,-0.065,50,short_iron_condor,1.0
315,0.03,50,4,-0.065,50,short_iron_condor,1.0
316,0.01,50,0,-0.075,50,short_iron_condor,0.75
317,0.02,50,0,-0.075,50,short_iron_condor,0.75
318,0.03,50,0,-0.075,50,short_iron_condor,0.75
319,0.01,50,0,-0.075,50,short_iron_condor,0.875
320,0.02,50,0,-0.075,50,short_iron_condor,0.875
321,0.03,50,0,-0.075,50,short_iron_condor,0.875
322,0.01,50,0,-0.075,50,short_iron_condor,1.0
323,0.02,50,0,-0.075,50,short_iron_condor,1.0
324,0.03,50,0,-0.075,50,short_iron_condor,1.0
325,0.01,50,1,-0.075,50,short_iron_condor,0.75
326,0.02,50,1,-0.075,50,short_iron_condor,0.75
327,0.03,50,1,-0.075,50,short_iron_condor,0.75
328,0.01,50,1,-0.075,50,short_iron_condor,0.875
329,0.02,50,1,-0.075,50,short_iron_condor,0.875
330,0.03,50,1,-0.075,50,short_iron_condor,0.875
331,0.01,50,1,-0.075,50,short_iron_condor,1.0
332,0.02,50,1,-0.075,50,short_iron_condor,1.0
333,0.03,50,1,-0.075,50,short_iron_condor,1.0
334,0.01,50,2,-0.075,50,short_iron_condor,0.75
335,0.02,50,2,-0.075,50,short_iron_condor,0.75
336,0.03,50,2,-0.075,50,short_iron_condor,0.75
337,0.01,50,2,-0.075,50,short_iron_condor,0.875
338,0.02,50,2,-0.075,50,short_iron_condor,0.875
339,0.03,50,2,-0.075,50,short_iron_condor,0.875
340,0.01,50,2,-0.075,50,short_iron_condor,1.0
341,0.02,50,2,-0.075,50,short_iron_condor,1.0
342,0.03,50,2,-0.075,50,short_iron_condor,1.0
343,0.01,50,3,-0.075,50,short_iron_condor,0.75
344,0.02,50,3,-0.075,50,short_iron_condor,0.75
345,0.03,50,3,-0.075,50,short_iron_condor,0.75
346,0.01,50,3,-0.075,50,short_iron_condor,0.875
347,0.02,50,3,-0.075,50,short_iron_condor,0.875
